# Likely CC-terminated encoded text payloads; no TBL applied.
# offset	length	raw bytes	placeholder rendering
0x01CC57	005D	C9 C6 C3 C0 BE BB B8 B6 B3 B1 AE AC AA A7 A5 A3 A1 9F 9D 9B 99 97 95 93 92 90 8F 8D 8C 8A 89 88 87 86 85 84 83 83 82 81 81 81 81 81 81 81 81 81 81 81 81 81 81 81 82 83 83 84 85 86 87 88 89 8A 8C 8D 8F 90 92 93 95 97 99 9B 9D 9F A1 A3 A5 A7 AA AC AE B1 B3 B6 B8 BB BE C0 C3 C6 C9	<C9><C6><C3><C0><BE><BB><B8><B6><B3><B1><AE><AC><AA><A7><A5><A3><A1><9F><9D><9B><99><97><95><93><92><90><8F><8D><8C><8A><89><88><87><86><85><84><83><83><82><81><81><81><81><81><81><81><81><81><81><81><81><81><81><81><82><83><83><84><85><86><87><88><89><8A><8C><8D><8F><90><92><93><95><97><99><9B><9D><9F><A1><A3><A5><A7><AA><AC><AE><B1><B3><B6><B8><BB><BE><C0><C3><C6><C9>
0x05AC0D	0100	3D 40 20 81 50 67 80 54 4D 3C 4A 68 0A 4F CD C9 1E 44 44 54 20 3F 59 3E 53 80 55 0A 60 D1 3F 18 3E 4D 63 40 0F CD C9 28 4E 3D 45 68 54 20 D4 47 3C 6E 4B D5 00 3F 45 64 4A 61 CD 80 0A 80 6E 00 20 80 4C 81 61 47 63 60 3D 50 CD D4 64 73 05 73 80 0D 80 84 D5 67 20 81 6A 81 6B 46 4A 68 0A D1 49 64 0D 80 0A 80 6E 00 20 81 61 80 27 46 4D 7E 7E 7E CD C9 28 3F 59 3E 54 20 80 0A 80 6E 53 D4 00 64 41 D5 53 80 1C 0D CD 4A 3F 64 4D 3C 4A 68 0A 60 CD C9 28 81 48 80 56 0D 20 80 D9 81 15 50 60 40 6E 4A D1 3E 0F C9 3C E0 00 0F CD C9 1E 81 11 80 E6 46 4F 45 3C 20 D4 00 64 41 D5 53 80 1C 40 61 CD 4B 6F 68 4E 20 55 65 6E 4D 3F 3C 4A 60 CD C9 1E 49 53 44 4E 54 20 80 26 80 EE 5F 6E 42 62 80 52 49 3D 4F 1F C0 D7 20 C2 00 54 CD C3 02 20 80 75 74 C3 00 67 20 80 36 50 80 31 64 4A 7D	=@ <81>Pg<80>TM<Jh<0A>O<CD><C9><1E>DDT ?Y>S<80>U<0A>`<D1>?<18>>Mc@<0F><CD><C9>(N=EhT <D4>G<nK<D5><00>?EdJa<CD><80><0A><80>n<00> <80>L<81>aGc`=P<CD><D4>ds<05>s<80><0D><80><84><D5>g <81>j<81>kFJh<0A><D1>Id<0D><80><0A><80>n<00> <81>a<80>'FM~~~<CD><C9>(?Y>T <80><0A><80>nS<D4><00>dA<D5>S<80><1C><0D><CD>J?dM<Jh<0A>`<CD><C9>(<81>H<80>V<0D> <80><D9><81><15>P`@nJ<D1>><0F><C9><<E0><00><0F><CD><C9><1E><81><11><80><E6>FOE< <D4><00>dA<D5>S<80><1C>@a<CD>KohN UenM?<J`<CD><C9><1E>ISDNT <80>&<80><EE>_nBb<80>RI=O<1F><C0><D7> <C2><00>T<CD><C3><02> <80>ut<C3><00>g <80>6P<80>1dJ}
0x05AD0E	00DB	D7 4F 68 0A 20 80 2D 4B 80 6D 00 3C 6E 19 3C 4F 53 40 0F CD 06 6F 3B 20 44 64 54 3B 07 40 6E 4D 3F 42 09 CD C9 1E 81 3A 46 80 2D 4B 80 6D 67 20 81 78 0C 43 4A 61 0E 3D 0A 0F C0 D7 E0 02 3F 3C 3F 3C 20 81 53 41 4A 62 46 4D CD 80 D9 81 15 50 20 5D 3D 81 44 80 89 4F 53 40 0F CD C9 1E 59 0A 20 81 48 80 CA 46 4B 6F 3C 40 68 09 1F C0 D7 E0 02 C2 00 C9 1E 20 80 D9 81 15 50 81 44 80 89 4F 53 40 0F CD C9 28 49 64 4F 61 20 80 4C 81 6E 50 46 4D 3C 3C 00 CD 3B 59 62 20 81 48 80 CA 54 47 63 68 06 6F 4F 3C 09 1F C0 D7 E0 02 3F 59 3E 20 3B 53 80 46 4A 4B 53 80 52 67 0E 3D 80 7A 3D 0F CD 20 80 3D 06 4D 20 3C 3C 4E 80 7A 3D CD 20 4F 68 40 20 3B 5E 46 3C 4E 80 7A 3D	<D7>Oh<0A> <80>-K<80>m<00><n<19><OS@<0F><CD><06>o; DdT;<07>@nM?B<09><CD><C9><1E><81>:F<80>-K<80>mg <81>x<0C>CJa<0E>=<0A><0F><C0><D7><E0><02>?<?< <81>SAJbFM<CD><80><D9><81><15>P ]=<81>D<80><89>OS@<0F><CD><C9><1E>Y<0A> <81>H<80><CA>FKo<@h<09><1F><C0><D7><E0><02><C2><00><C9><1E> <80><D9><81><15>P<81>D<80><89>OS@<0F><CD><C9>(IdOa <80>L<81>nPFM<<<00><CD>;Yb <81>H<80><CA>TGch<06>oO<<09><1F><C0><D7><E0><02>?Y> ;S<80>FJKS<80>Rg<0E>=<80>z=<0F><CD> <80>=<06>M <<N<80>z=<CD> Oh@ ;^F<N<80>z=
0x05AE85	0100	81 21 46 42 80 08 6E 4D 42 64 63 0A 65 3D 1F DE D7 E0 02 4E 3D 45 68 00 81 10 3D 53 5D 20 4F 68 0A 43 0E 4F CD 3F 59 3E 20 C9 1E 44 44 46 14 61 42 0D CD 07 3C 16 68 80 43 41 42 4F 6E 4A 68 06 6F 4F 3C 40 0F D1 3C 5E 49 53 20 C9 1E 80 1F 53 81 6F 45 06 6F 4F 3C 09 7E 7E 7E CD C9 3C 4E 50 40 42 20 C9 1E E0 00 54 59 40 48 4A CD 3B 53 80 46 4A 4B 53 4A 5C 50 80 F6 80 F9 4D 4A 3C 4F 61 CD 49 3D 46 4D 3B 03 4F 45 3C 1F C0 D7 E0 02 80 2D 4B 80 6D 00 20 3C 6E 19 3C 4F 68 0A 65 3D 0F CD 58 61 20 59 3B 20 4E 50 40 42 CD 81 78 0C 43 4A 61 20 0E 3D 0A 0F C0 D7 20 C2 00 54 CD C3 02 20 80 75 74 C3 00 67 20 80 36 50 80 31 64 4A 7D D1 20 C2 00 54 CD C3 02 20 80 75 75 C3 00 67 20 80 36 50 80 31 64 4A 7D D1 20 C2 00 54 CD C3 02 20 80 75 76 C3 00 67 20 80 36 50 80 31 64 4A 7D	<81>!FB<80><08>nMBdc<0A>e=<1F><DE><D7><E0><02>N=Eh<00><81><10>=S] Oh<0A>C<0E>O<CD>?Y> <C9><1E>DDF<14>aB<0D><CD><07><<16>h<80>CABOnJh<06>oO<@<0F><D1><^IS <C9><1E><80><1F>S<81>oE<06>oO<<09>~~~<CD><C9><NP@B <C9><1E><E0><00>TY@HJ<CD>;S<80>FJKSJ\P<80><F6><80><F9>MJ<Oa<CD>I=FM;<03>OE<<1F><C0><D7><E0><02><80>-K<80>m<00> <n<19><Oh<0A>e=<0F><CD>Xa Y; NP@B<CD><81>x<0C>CJa <0E>=<0A><0F><C0><D7> <C2><00>T<CD><C3><02> <80>ut<C3><00>g <80>6P<80>1dJ}<D1> <C2><00>T<CD><C3><02> <80>uu<C3><00>g <80>6P<80>1dJ}<D1> <C2><00>T<CD><C3><02> <80>uv<C3><00>g <80>6P<80>1dJ}
0x05B2F3	00B7	20 80 09 80 0A 4E 4F 63 53 0D 47 D1 E0 02 3D 5B 7E 7E 7E CD C9 1E 3C 41 4F 62 20 80 3D 06 61 64 63 80 52 0D 54 4F 3C 4F D1 E0 15 04 5D 6E 4E 5D 0D 04 05 3C 59 47 CD 0D 47 40 61 20 4E 62 3B 3E 07 54 CD 44 64 67 20 3F 66 4A 46 46 4D 3F 41 59 47 D1 5D 46 20 04 81 05 80 32 3C 4A 0A 43 63 53 0D 46 4A 61 CD 44 64 67 20 3F 80 08 3C 42 0A 45 3C CD 44 64 54 20 D4 46 71 44 61 80 6B D5 50 3B 4F 4A 80 BF 67 CD 04 81 55 81 56 3C 4A 46 59 47 20 80 68 80 6D 0D 04 05 3C 59 47 DE D7 20 C2 00 54 CD C3 02 20 80 69 80 6A 80 C2 C3 00 67 20 80 36 50 80 31 64 4A 7D	 <80><09><80><0A>NOcS<0D>G<D1><E0><02>=[~~~<CD><C9><1E><AOb <80>=<06>adc<80>R<0D>TO<O<D1><E0><15><04>]nN]<0D><04><05><YG<CD><0D>G@a Nb;><07>T<CD>Ddg ?fJFFM?AYG<D1>]F <04><81><05><80>2<J<0A>CcS<0D>FJa<CD>Ddg ?<80><08><B<0A>E<<CD>DdT <D4>FqDa<80>k<D5>P;OJ<80><BF>g<CD><04><81>U<81>V<JFYG <80>h<80>m<0D><04><05><YG<DE><D7> <C2><00>T<CD><C3><02> <80>i<80>j<80><C2><C3><00>g <80>6P<80>1dJ}
0x05C014	0100	3C 81 7E 45 68 00 20 3F 60 5C 45 68 50 CD 41 4D 42 64 63 4F 68 4D 20 3D 64 46 42 4D 52 CD 80 82 80 D0 41 54 20 46 4D 5A 63 5D 68 0A 60 1F C0 D7 81 22 53 80 C9 81 02 00 20 80 42 42 4D 52 3E 7E 7E 7E CD 3F 80 36 81 1B 3C 45 68 0D 5D 3C 64 14 CD 80 9A 40 63 68 0A 43 0E 52 3E 7E 7E 7E 1F C0 D7 55 7E C9 1E 55 6F 3B 6E CD C9 1E 4F 68 0A 3C 20 49 53 20 80 43 41 3C 53 54 0F 7D CD C9 1E 3E 0F C9 1E 3F 80 36 81 1B 3C 67 47 63 20 65 18 6E 4E 0F CD C9 14 49 3D 40 3C 20 3C 3C 81 02 4F 68 0A 52 3E D1 3B 4A 46 5D 81 1D 80 F1 20 81 22 53 80 C9 81 02 00 CD 60 42 4F 42 6E 4D 52 3E 7E 7E 7E D1 49 3D 3C 3D 20 54 4A 61 41 5D 53 00 CD 3C 4D 42 64 64 14 20 80 9A 40 63 68 0A 43 0E 52 3E CD 20 3F 14 3B 45 68 50 80 5C 46 4D 3B 03 59 47 CD 20 81 85 53 80 1C 3D 59 42 54 3C 41 59 48 68	<<81>~Eh<00> ?`\EhP<CD>AMBdcOhM =dFBMR<CD><80><82><80><D0>AT FMZc]h<0A>`<1F><C0><D7><81>"S<80><C9><81><02><00> <80>BBMR>~~~<CD>?<80>6<81><1B><Eh<0D>]<d<14><CD><80><9A>@ch<0A>C<0E>R>~~~<1F><C0><D7>U~<C9><1E>Uo;n<CD><C9><1E>Oh<0A>< IS <80>CA<ST<0F>}<CD><C9><1E>><0F><C9><1E>?<80>6<81><1B><gGc e<18>nN<0F><CD><C9><14>I=@< <<<81><02>Oh<0A>R><D1>;JF]<81><1D><80><F1> <81>"S<80><C9><81><02><00><CD>`BOBnMR>~~~<D1>I=<= TJaA]S<00><CD><MBdd<14> <80><9A>@ch<0A>C<0E>R><CD> ?<14>;EhP<80>\FM;<03>YG<CD> <81><85>S<80><1C>=YBT<AYHh
0x05EC6C	0100	3F 3C 4D CD 80 C9 81 02 3C 3C 44 4E 81 10 6E 4D 63 60 7D C0 D7 E0 07 3F 59 3E 20 66 05 66 05 4D 00 5A 67 CD 4E 0E 43 63 4A 5C 20 5D 0E 6E 4D 41 4A 53 40 0F D1 3F 59 3E 53 60 3D 4F 5E 4C 67 CD C3 03 3F 55 4E 60 46 20 C3 00 6E 4D 81 10 3D 68 0A 08 1F C0 D7 E0 07 4F 68 0A 60 20 3F 80 01 CD 81 7D 80 36 50 20 80 46 53 80 55 53 80 1C 50 CD 80 31 6E 4D 42 63 4F 60 1F C0 D7 E0 07 3D 4B 53 20 40 3B 4B 6F 68 4F 61 CD 80 99 80 82 80 D1 53 20 80 D2 80 D3 50 3C 63 60 CD 80 6C 00 3B 63 4F 61 5B 44 3D 50 80 1E 43 60 1F C0 D7 E0 07 3F 3C 6E 7D 4B 71 6E 4E 59 4D 60 7D C0 D7 E0 07 4D 41 4E 3D 4F 20 80 76 00 4F 40 6E 4A 40 61 CD 44 64 50 20 80 38 3C 4A 7D CD 44 64 67 3F 5E 06 50 20 66 4A 46 4D 42 64 7D D1 20 C2 00 54 CD C3 02 20 80 75 80 77 C3 00 67 20 80 D2 43 81 18 6E 4A 7D	?<M<CD><80><C9><81><02><<DN<81><10>nMc`}<C0><D7><E0><07>?Y> f<05>f<05>M<00>Zg<CD>N<0E>CcJ\ ]<0E>nMAJS@<0F><D1>?Y>S`=O^Lg<CD><C3><03>?UN`F <C3><00>nM<81><10>=h<0A><08><1F><C0><D7><E0><07>Oh<0A>` ?<80><01><CD><81>}<80>6P <80>FS<80>US<80><1C>P<CD><80>1nMBcO`<1F><C0><D7><E0><07>=KS @;KohOa<CD><80><99><80><82><80><D1>S <80><D2><80><D3>P<c`<CD><80>l<00>;cOa[D=P<80><1E>C`<1F><C0><D7><E0><07>?<n}KqnNYM`}<C0><D7><E0><07>MAN=O <80>v<00>O@nJ@a<CD>DdP <80>8<J}<CD>Ddg?^<06>P fJFMBd}<D1> <C2><00>T<CD><C3><02> <80>u<80>w<C3><00>g <80><D2>C<81><18>nJ}
0x05EF16	0100	61 3D 60 CD 3F 80 01 53 20 3F 5E 06 50 54 CD 3C 4C 5D 20 81 85 80 52 50 4F 6E 4D 63 46 4F 1F C0 D7 D4 3B 41 54 14 61 D5 53 80 E3 81 02 06 6F 52 3E 40 CD 4F 50 0F C9 1E 80 27 80 14 00 46 4A 3C 0A 4E 0F CD C9 1E 49 62 6F 3B 3F 80 01 20 40 68 4A 68 50 54 CD 0D 41 52 3E 09 D1 3F 80 01 53 20 3F 5E 06 0A 6E 4D CD 80 D9 67 81 5D 68 0A 62 20 81 8B 3E 44 68 0A 62 46 4D CD 80 27 80 14 80 8C 67 80 23 6E 4D 3C 4A 5D 68 45 D1 49 3D 3C 5E 3B 20 C3 02 80 03 80 2B C3 00 4E 40 81 10 6E 4D CD 3D 4B 53 20 D4 00 61 42 4A D5 67 80 2D 6E 4D 3C 6E 4D CD 80 EA 40 20 80 23 6E 4D 3C 4A 44 4E 5D 3B 6E 4A 4F 3B D1 D4 00 61 42 4A D5 4F 61 20 81 B7 50 44 65 00 6E 4D 63 60 CD 80 2D 6E 4D 80 1E 42 40 3C 0F CD 20 3D 68 7D 80 2D 6E 4D 3C 42 7D CD 20 80 26 80 59 53 80 3B 54 20 5E 5C 4D 3F 42	a=`<CD>?<80><01>S ?^<06>PT<CD><L] <81><85><80>RPOnMcFO<1F><C0><D7><D4>;AT<14>a<D5>S<80><E3><81><02><06>oR>@<CD>OP<0F><C9><1E><80>'<80><14><00>FJ<<0A>N<0F><CD><C9><1E>Ibo;?<80><01> @hJhPT<CD><0D>AR><09><D1>?<80><01>S ?^<06><0A>nM<CD><80><D9>g<81>]h<0A>b <81><8B>>Dh<0A>bFM<CD><80>'<80><14><80><8C>g<80>#nM<J]hE<D1>I=<^; <C3><02><80><03><80>+<C3><00>N@<81><10>nM<CD>=KS <D4><00>aBJ<D5>g<80>-nM<nM<CD><80><EA>@ <80>#nM<JDN];nJO;<D1><D4><00>aBJ<D5>Oa <81><B7>PDe<00>nMc`<CD><80>-nM<80><1E>B@<<0F><CD> =h}<80>-nM<B}<CD> <80>&<80>YS<80>;T ^\M?B
0x05F017	0088	D0 49 64 06 6F 3B 20 80 F0 53 81 B7 50 80 31 62 4F CD 81 B7 50 20 75 4C D4 40 1B 48 63 D5 00 3B 63 40 61 CD 81 B8 81 04 20 80 2D 6E 4D 3C 6E 4D 3C 3C 09 1F C0 D0 49 3D 40 3C 20 49 3D 40 3C CD 59 3B 20 80 89 00 5B 3C 4A 61 CD 3C 4C 0D 5D 20 81 10 6E 4D 42 64 1F C0 D7 D4 3B 41 54 14 61 D5 53 80 E3 81 02 06 6F 52 3E 40 CD 80 EA 40 80 6C 40 0F CD 20 80 8C 80 6D 67 80 11 3C 50 80 10 4A CD 20 81 B9 6E 4A 0A 43	<D0>Id<06>o; <80><F0>S<81><B7>P<80>1bO<CD><81><B7>P uL<D4>@<1B>Hc<D5><00>;c@a<CD><81><B8><81><04> <80>-nM<nM<<<09><1F><C0><D0>I=@< I=@<<CD>Y; <80><89><00>[<Ja<CD><L<0D>] <81><10>nMBd<1F><C0><D7><D4>;AT<14>a<D5>S<80><E3><81><02><06>oR>@<CD><80><EA>@<80>l@<0F><CD> <80><8C><80>mg<80><11><P<80><10>J<CD> <81><B9>nJ<0A>C
0x05F0CB	0050	D7 80 26 80 59 54 20 3B 4C 3C 40 61 45 3B CD 80 F0 67 20 80 E2 5A 50 46 4A 68 0A 60 CD 48 6E 40 42 80 10 4A 53 50 20 47 59 4F 3C 52 1F C0 D7 CF 1C F1 85 C0 49 3D 40 3C 20 49 3D 40 3C CD 80 89 00 47 5B 59 0D CD 5F 6E 42 62 46 4D 3C 41 4F 1F	<D7><80>&<80>YT ;L<@aE;<CD><80><F0>g <80><E2>ZPFJh<0A>`<CD>Hn@B<80><10>JSP GYO<R<1F><C0><D7><CF><1C><F1><85><C0>I=@< I=@<<CD><80><89><00>G[Y<0D><CD>_nBbFM<AO<1F>
0x05F11C	002E	4F 68 0A 20 D4 52 07 5A D5 40 CD 66 62 3C 4F 20 3F 64 54 80 46 81 2B 80 BF 4E 46 40 CD 81 BA 80 12 46 4F 3C 20 81 4D 81 BB 4F 68 0A 60 1F	Oh<0A> <D4>R<07>Z<D5>@<CD>fb<O ?dT<80>F<81>+<80><BF>NF@<CD><81><BA><80><12>FO< <81>M<81><BB>Oh<0A>`<1F>
0x05F14B	002D	4F 68 0A 3C 20 18 3D 5E CD 58 46 3C 5D 53 0D 5D 20 3B 63 53 40 3C 0F CD 20 80 8C 80 6D 67 80 11 3C 50 80 10 4A CD 20 81 B9 6E 4A 0A 43	Oh<0A>< <18>=^<CD>XF<]S<0D>] ;cS@<<0F><CD> <80><8C><80>mg<80><11><P<80><10>J<CD> <81><B9>nJ<0A>C
0x0694CD	0100	3B 7E 3C 5E 7E 7E 7E C9 3C 06 6F 20 81 F6 54 80 1E 42 08 CD C9 1E 3B 7E 7E 7E 81 F6 20 C3 02 DC 09 D4 44 4D 4C D5 C3 00 DC 00 6E 4C 3D 68 0A CD C9 3C 59 4A 20 80 D8 3D 44 4E 5D 3B 63 0A 65 D4 73 D5 40 61 CD 4B 6E 4E 54 20 3F 18 3E 4E 3C 4D 42 64 4F 1F C0 D7 60 3D 18 3D 07 CD 3F 80 01 5D 20 4C 40 59 6E 4A 53 0F CD 55 4E 62 0D 20 44 68 4F 80 3B 59 0D CD 42 63 4F 68 4D 20 3C 45 59 46 3C 52 3E D1 59 45 40 80 7A 6E 4D 5D 5A 4F 3C 60 4F CD 0E 3D 42 4C 53 80 1C 50 CD 44 68 4F 20 3D 45 68 42 45 3C 81 2A 61 00 CD 3C 63 4F 68 4D 60 3F D1 3F 64 4F 68 40 45 CD 4B 71 6E 4E 20 04 3B 3C 45 4C 46 4A 61 CD 44 53 D4 05 59 D5 0A 08 0F 4A 59 68 52 3E 60 4F DE D7 4E 44 65 0D 60 3F 20 18 3D 07 CD 4A 53 5A 00 20 3B 63 68 0A 43 0E 45 CD 20 4F 68 0D 46 71 0F CD 20 5E 4F 44 6E 4A 3C	;~<^~~~<C9><<06>o <81><F6>T<80><1E>B<08><CD><C9><1E>;~~~<81><F6> <C3><02><DC><09><D4>DML<D5><C3><00><DC><00>nL=h<0A><CD><C9><YJ <80><D8>=DN];c<0A>e<D4>s<D5>@a<CD>KnNT ?<18>>N<MBdO<1F><C0><D7>`=<18>=<07><CD>?<80><01>] L@YnJS<0F><CD>UNb<0D> DhO<80>;Y<0D><CD>BcOhM <EYF<R><D1>YE@<80>znM]ZO<`O<CD><0E>=BLS<80><1C>P<CD>DhO =EhBE<<81>*a<00><CD><cOhM`?<D1>?dOh@E<CD>KqnN <04>;<ELFJa<CD>DS<D4><05>Y<D5><0A><08><0F>JYhR>`O<DE><D7>NDe<0D>`? <18>=<07><CD>JSZ<00> ;ch<0A>C<0E>E<CD> Oh<0D>Fq<0F><CD> ^ODnJ<
0x0695CE	0061	D0 3B 53 4F 7E 7E 7E CD 44 53 3C 59 3C 59 46 3C 20 81 F7 81 F8 53 CD C3 02 D4 40 01 D5 C3 00 67 20 45 00 46 4D 58 46 3C 68 0A D1 D4 40 50 D5 53 81 96 67 46 4A 81 2A 00 CD 80 2D 6E 4D 63 54 07 4F 68 0A D1 0E 3D 0A CD 45 00 46 4D 41 4D 42 64 63 40 0F CD 20 54 3C 54 3C CD 20 5E 4F 44 6E 4A 3C	<D0>;SO~~~<CD>DS<Y<YF< <81><F7><81><F8>S<CD><C3><02><D4>@<01><D5><C3><00>g E<00>FMXF<h<0A><D1><D4>@P<D5>S<81><96>gFJ<81>*<00><CD><80>-nMcT<07>Oh<0A><D1><0E>=<0A><CD>E<00>FMAMBdc@<0F><CD> T<T<<CD> ^ODnJ<
0x069630	0060	D0 49 D4 73 D5 40 3C 20 49 D4 73 D5 40 3C CD 3F 80 01 5D 20 44 44 40 61 80 45 61 64 63 CD D4 4B 6F 68 47 D5 4F 53 50 4F D4 73 D5 CD 40 66 3C 49 D4 73 D5 50 4F D4 73 D5 1F C0 D7 4F 68 0A 60 CD 80 89 00 40 66 6E 4A 53 40 0F CD 20 59 40 48 4D 4B 71 D4 73 D5 0A 3C CD 20 60 68 0D 5A 4A 0A 43	<D0>I<D4>s<D5>@< I<D4>s<D5>@<<CD>?<80><01>] DD@a<80>Eadc<CD><D4>KohG<D5>OSPO<D4>s<D5><CD>@f<I<D4>s<D5>PO<D4>s<D5><1F><C0><D7>Oh<0A>`<CD><80><89><00>@fnJS@<0F><CD> Y@HMKq<D4>s<D5><0A><<CD> `h<0D>ZJ<0A>C
0x06AB06	0100	14 AB 6B 02 1D BA AC 02 1C 02 02 14 AB 6B 25 AB 1A AB 25 AB 02 1D 07 AC 02 0A 4F 80 4C 8E AA 02 1D 85 AC 02 0A 4E 80 4C A9 AA D7 0E 3D 46 4A 53 0F 81 46 CD 3B 16 4F 3C 66 60 CD 81 1D 80 F1 20 44 66 3C 3F 82 04 45 68 4A 4B 00 CD 3D 65 3D 65 46 4D 63 68 0A 40 61 52 D1 3E 0F 3B 4A 46 0F 3B 4A 46 54 CD 80 43 80 46 0A 40 61 20 81 44 80 89 4F 53 CD C9 1E 58 61 20 D4 14 40 D5 4F 44 4E 81 10 6E 4D 4F 3C 0D CD 81 30 42 80 EF 62 4F 45 3C 60 D1 4F 3B 50 0F C9 1E 59 0A 80 EA 40 80 6C 4F 53 0F CD C9 1E 7E 7E 7E 54 54 69 68 CD C9 1E 45 4D 54 20 55 4E 62 0D 80 EF 63 53 00 CD 44 66 42 4F 6E 4A 68 0D 46 71 0F D1 4F 68 4F 61 20 3C 6E 46 71 50 CD 80 1E 6E 4D 3B 03 4D 5D 3C 3C 66 60 0F CD 20 66 3B 3C 20 3F 52 00 3C 46 59 D4 73 D5 47 CD 20 55 4E 62 0D 80 EF 63 40 61 20 3C 3C 60	<14><AB>k<02><1D><BA><AC><02><1C><02><02><14><AB>k%<AB><1A><AB>%<AB><02><1D><07><AC><02><0A>O<80>L<8E><AA><02><1D><85><AC><02><0A>N<80>L<A9><AA><D7><0E>=FJS<0F><81>F<CD>;<16>O<f`<CD><81><1D><80><F1> Df<?<82><04>EhJK<00><CD>=e=eFMch<0A>@aR<D1>><0F>;JF<0F>;JFT<CD><80>C<80>F<0A>@a <81>D<80><89>OS<CD><C9><1E>Xa <D4><14>@<D5>ODN<81><10>nMO<<0D><CD><81>0B<80><EF>bOE<`<D1>O;P<0F><C9><1E>Y<0A><80><EA>@<80>lOS<0F><CD><C9><1E>~~~TTih<CD><C9><1E>EMT UNb<0D><80><EF>cS<00><CD>DfBOnJh<0D>Fq<0F><D1>OhOa <nFqP<CD><80><1E>nM;<03>M]<<f`<0F><CD> f;< ?R<00><FY<D4>s<D5>G<CD> UNb<0D><80><EF>c@a <<`
0x06AC22	0100	CD C3 02 D4 65 44 44 80 99 D5 53 20 80 56 81 24 81 25 81 26 C3 00 60 CD C9 1E 4E 62 3B 3E 07 20 60 65 46 42 52 7D D1 06 6F 3B 20 3B 4A 46 54 81 33 65 40 61 CD 4C 3C 4D 3C 6E 4D 3B 03 63 40 61 CD 81 46 00 20 80 BD 50 80 63 41 4F 45 3C CD C9 1E 7E 7E 7E 4F 50 60 C9 1E 20 82 05 82 06 3B 63 53 0F C0 D0 5B 6E 7D 40 66 3C 42 4F 3C 53 6E 7D CD 80 46 53 81 0B 80 48 67 81 48 50 47 63 4E CD 65 42 4F 80 43 80 46 50 4F 61 4F 3C 66 60 6E CD C9 3C 1B 68 0A 6E 7D C0 D7 80 EA 60 20 59 4A 20 41 5A 6A 0F CD 80 6C 00 3B 63 4F 61 CD 54 6E 41 62 20 81 10 3C 4F 45 3C 60 CD 81 3E 53 81 02 0D 46 71 7D 0F D1 3C 6E 46 71 50 80 1E 6E 4D 58 46 3C 4F 61 CD 47 4F 3F 50 20 81 10 3E 14 3C 3C 53 60 7D CD 20 3C 6E 46 71 50 20 80 1E 41 59 46 71 3D CD 20 55 4E 62 0D 80 EF 63 40 61 20 3C 3C 60	<CD><C3><02><D4>eDD<80><99><D5>S <80>V<81>$<81>%<81>&<C3><00>`<CD><C9><1E>Nb;><07> `eFBR}<D1><06>o; ;JFT<81>3e@a<CD>L<M<nM;<03>c@a<CD><81>F<00> <80><BD>P<80>cAOE<<CD><C9><1E>~~~OP`<C9><1E> <82><05><82><06>;cS<0F><C0><D0>[n}@f<BO<Sn}<CD><80>FS<81><0B><80>Hg<81>HPGcN<CD>eBO<80>C<80>FPOaO<f`n<CD><C9><<1B>h<0A>n}<C0><D7><80><EA>` YJ AZj<0F><CD><80>l<00>;cOa<CD>TnAb <81><10><OE<`<CD><81>>S<81><02><0D>Fq}<0F><D1><nFqP<80><1E>nMXF<Oa<CD>GO?P <81><10>><14><<S`}<CD> <nFqP <80><1E>AYFq=<CD> UNb<0D><80><EF>c@a <<`
0x06BA8D	00CC	20 40 42 45 64 4D 3C 63 CD 80 46 82 09 6E 4D 81 10 3D 53 54 7E 7E 7E 1F C0 D8 C3 03 3D 56 56 56 CD 40 66 3C 3C 20 3F D4 14 40 D5 45 68 52 CD 49 68 4F 50 20 40 68 4A 68 50 54 3C 40 4F 3C 66 60 D1 D4 3B 4A 46 D5 53 81 22 50 40 42 45 64 4A 20 80 75 54 52 CD 80 46 82 09 53 D4 3B 4A 46 D5 50 CD 80 60 80 7A 80 7B 4F 20 80 32 67 42 64 4A 53 60 CD D4 3B 4F 4A D5 50 4F 68 40 20 3B 03 61 64 4F 3C 66 D1 46 14 61 42 20 49 3D 46 4D 4F 45 3C CD 81 33 0D 20 D4 3B 4A 46 D5 4A 4B 53 CD 81 80 81 2B 50 20 82 0D 3E 4D 3B 03 63 66 52 1F C3 00 C0 05 00 68 00 20 02 C5 30 02 CB 02 0B 07 80 4F BB 6B 02 05 1E 00 A9 00 20 04 06 02	 @BEdM<c<CD><80>F<82><09>nM<81><10>=ST~~~<1F><C0><D8><C3><03>=VVV<CD>@f<< ?<D4><14>@<D5>EhR<CD>IhOP @hJhPT<@O<f`<D1><D4>;JF<D5>S<81>"P@BEdJ <80>uTR<CD><80>F<82><09>S<D4>;JF<D5>P<CD><80>`<80>z<80>{O <80>2gBdJS`<CD><D4>;OJ<D5>POh@ ;<03>adO<f<D1>F<14>aB I=FMOE<<CD><81>3<0D> <D4>;JF<D5>JKS<CD><81><80><81>+P <82><0D>>M;<03>cfR<1F><C3><00><C0><05><00>h<00> <02><C5>0<02><CB><02><0B><07><80>O<BB>k<02><05><1E><00><A9><00> <04><06><02>
